Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,US East (Ohio),web server,Amazon EC2,0,830.93,9971.16,USD,"Operating system (Linux), Quantity (6), Pricing strategy (On-Demand Instances), Storage amount (30 GB), Instance type (t2.xlarge)"
My Estimate,US East (Ohio),App Server,Amazon EC2,0,1524.72,18296.64,USD,"Operating system (Linux), Quantity (6), Pricing strategy (On-Demand Instances), Storage amount (30 GB), Instance type (m5a.2xlarge)"
My Estimate,US East (Ohio),Database,Amazon RDS for MySQL,0,7042.24,84506.88,USD,"Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (30 GB), Quantity (2), Instance type (db.m4.10xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Deployment option (Multi-AZ), Pricing strategy (Reserved 1yr No Upfront)"
My Estimate,US East (Ohio),Read Replica,Amazon RDS for MySQL,0,7042.24,84506.88,USD,"Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (30 GB), Quantity (2), Instance type (db.m4.10xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Deployment option (Multi-AZ), Pricing strategy (Reserved 1yr No Upfront)"
My Estimate,US East (Ohio),ELB,Application Load Balancer,0,79.57,954.84,USD,Number of Application Load Balancers (2)
My Estimate,US East (Ohio),S3 Lab,S3 Standard,0,3.2,38.4,USD,S3 Standard storage (100 GB per month)
My Estimate,US East (Ohio),S3 Lab,Data Transfer,0,921.6,11059.2,USD,"DT Inbound: Internet (10 TB per month), DT Outbound: Internet (10 TB per month)"
My Estimate,US East (Ohio),VPC,Amazon Virtual Private Cloud (VPC),0,74.7,896.4,USD,Number of NAT Gateways (2)
My Estimate,US East (Ohio),udacity cloudfront,Amazon CloudFront,0,105,1260,USD,"Data transfer out to internet (1000 GB per month), Data transfer out to origin (1000 GB per month)"
,,,,,,,,
Total,,,,,17624.2,,,
With increased budget I have beefed up the web servers and App Servers. Converted App Server to tru highly available cofiguration (3 in each zone). Beefed up the RDS by using two server for read write and two servers for read replica.,,,,,,,,
Acknowledgement,,,,,,,,
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services.",,,,,,,,
